SenatorBaldwin, DEM
SenJohnBarrasso, REP
SenatorBennet, DEM
MarshaBlackburn, REP
SenBlumenthal, DEM
RoyBlunt, REP
CoryBooker, DEM
JohnBoozman, REP
SenatorBraun, REP
SenSherrodBrown, DEM
SenatorCantwell, DEM
SenCapito, REP
SenatorCardin, DEM
SenatorCarper, DEM
SenBobCasey, DEM
SenBillCassidy, REP
ChrisCoons, DEM
JohnCornyn, REP
SenCortezMasto, DEM
SenTomCotton, REP
SenKevinCramer, REP
MikeCrapo, REP
SenTedCruz, REP
SteveDaines, REP
SenDuckworth, DEM
SenatorDurbin, DEM
SenJoniErnst, REP
SenFeinstein, DEM
SenatorFischer, REP
SenGillibrand, DEM
LindseyGrahamSC, REP
ChuckGrassley, REP
SenatorHagerty, REP
SenatorHassan, DEM
HawleyMO, REP
MartinHeinrich, DEM
SenatorHick, DEM
maziehirono, DEM
SenJohnHoeven, REP
SenHydeSmith, REP
JimInhofe, REP
SenRonJohnson, REP
timkaine, DEM
SenMarkKelly, REP
SenJohnKennedy, REP
SenAngusKing, IND
SenAmyKlobuchar, DEM
SenatorLankford, REP
SenatorLeahy, DEM
SenMikeLee, REP
SenatorLujan, DEM
SenLummis, REP
Sen_JoeManchin, DEM
SenMarkey, DEM
SenatorMenendez, DEM
SenJeffMerkley, DEM
JerryMoran, REP
lisamurkowski, REP
ChrisMurphyCT, DEM
PattyMurray, DEM
ossoff, DEM
SenAlexPadilla, DEM
RandPaul, REP
SenGaryPeters, DEM
senrobportman, REP
SenJackReed, DEM
SenatorRisch, REP
SenatorRomney, REP
SenJackyRosen, DEM
marcorubio, REP
SenSanders, IND
SenSchumer, DEM
SenRickScott, REP
SenatorTimScott, REP
SenatorShaheen, DEM
SenatorSinema, DEM
SenTinaSmith, DEM
SenStabenow, DEM
SenDanSullivan, REP
SenatorTester, DEM
SenJohnThune, REP
SenThomTillis, REP
SenToomey, REP
SenTuberville, REP
ChrisVanHollen, DEM
MarkWarner, DEM
SenatorWarnock, DEM
SenWarren, DEM
SenWhitehouse, DEM
SenatorWicker, REP
RonWyden, DEM
SenToddYoung, REP
RepAdams, DEM
Robert_Aderholt, REP
RepPeteAguilar, DEM
RepRickAllen, REP
RepColinAllred, DEM
RepArmstrongND, REP
RepArrington, REP
RepAuchincloss, DEM
RepCindyAxne, DEM
RepBrianBabin, REP
RepDonBacon, REP
