,|V|,|E|,Preordering ILP,Preordering ILP Gap,Preordering ILP T,Clustering ILP,Clustering ILP Gap,Clustering ILP T,Partial Ordering ILP,Partial Ordering ILP Gap,Partial Ordering ILP T,Successive ILPs,Successive ILPs Gap,Successive ILPs T,LP,LP T,LP+OCW,LP+OCW T,GDC,GDC T,GAI,GAI T,GDC+GAI,GDC+GAI T
98801140,5,5,3.0,0.0,0.0008201599121093,2.0,0.0,0.0009412765502929,3.0,0.0,0.0020883083343505,3.0,0.0,0.0037009716033935,3.0,0.0011234283447265,3.0,0.0012719631195068,3,0.0001447200775146,3,0.3115136623382568,3,0.0148136615753173
14711172,6,8,4.0,0.0,0.0008766651153564,2.0,0.0,0.0009021759033203,4.0,0.0,0.0018482208251953,2.0,0.0,0.0019488334655761,4.0,0.0011756420135498,4.0,0.0012807846069335,4,0.000126838684082,2,0.0009031295776367,4,0.0002346038818359
734493,9,54,52.0,0.0,0.0006182193756103,40.0,0.0,0.0018825531005859,34.0,0.0,0.0007345676422119,52.0,0.0,0.0027358531951904,52.0,0.0009171962738037,52.0,0.0011720657348632,20,0.0001487731933593,52,0.0015094280242919,52,0.0008647441864013
396721965,9,21,13.0,0.0,0.0007319450378417,10.0,0.0,0.0029270648956298,13.0,0.0,0.0014188289642333,10.0,0.0,0.0034685134887695,13.0,0.0012979507446289,13.0,0.0014688968658447,11,0.0001451969146728,12,0.0015802383422851,13,0.0005872249603271
15924858,10,39,24.0,0.0,0.0014641284942626,16.0,0.0,0.0013513565063476,23.0,0.0,0.0033884048461914,24.0,0.0,0.0034182071685791,24.5,0.00166916847229,24.5,0.005265474319458,18,0.0001461505889892,23,0.0017848014831542,23,0.001340627670288
34805698,10,47,34.0,0.0,0.0009808540344238,24.0,0.0,0.0031666755676269,31.0,0.0,0.0018651485443115,30.0,0.0,0.0047888755798339,34.0,0.0018041133880615,34.0,0.0019717216491699,20,0.0001425743103027,34,0.0016882419586181,32,0.0013272762298583
215328630,10,33,19.0,0.0,0.0009684562683105,10.0,0.0,0.0016815662384033,19.0,0.0,0.0020992755889892,12.0,0.0,0.0032544136047363,19.0,0.0019865036010742,19.0,0.0020463466644287,13,0.0001418590545654,14,0.0018928050994873,19,0.0010695457458496
215824411,10,40,35.0,0.0,0.0006911754608154,24.0,0.0,0.0014162063598632,28.0,0.0,0.0016384124755859,30.0,0.0,0.0026407241821289,35.0,0.0011801719665527,35.0,0.0013329982757568,19,0.000138521194458,35,0.0016372203826904,35,0.0009441375732421
43858661,11,37,22.0,0.0,0.0010492801666259,16.0,0.0,0.0016591548919677,21.0,0.0,0.0019552707672119,21.0,0.0,0.0033061504364013,22.0,0.0019338130950927,22.0,0.0020480155944824,16,0.0001561641693115,20,0.0015540122985839,21,0.0006334781646728
90880254,11,44,26.0,0.0,0.0012187957763671,22.0,0.0,0.0020234584808349,23.0,0.0,0.0026609897613525,26.0,0.0,0.0043542385101318,26.0,0.0023279190063476,26.0,0.0025842189788818,18,0.000145673751831,26,0.0013885498046875,21,0.0009608268737792
262310943,12,73,54.0,0.0,0.0014758110046386,30.0,0.0,0.0053517818450927,49.0,0.0,0.0035524368286132,41.0,0.0,0.0050232410430908,54.0,0.006749153137207,54.0,0.0034186840057373,32,0.0001552104949951,52,0.0023972988128662,47,0.0012063980102539
16297193,13,111,83.0,0.0,0.0019621849060058,80.0,0.0,0.0028483867645263,65.0,0.0,0.0047428607940673,80.0,0.0,0.0053513050079345,83.0,0.004418134689331,83.0,0.0065205097198486,39,0.0001649856567382,81,0.0022177696228027,77,0.0011229515075683
17421011,13,52,34.0,0.0,0.0013341903686523,18.0,0.0,0.0011286735534667,33.0,0.0,0.0041389465332031,29.0,0.0,0.0051305294036865,34.0,0.0024354457855224,34.0,0.0026102066040039,24,0.000171422958374,31,0.0019428730010986,32,0.0013253688812255
96545499,13,38,22.0,0.0,0.0011837482452392,12.0,0.0,0.0011842250823974,20.0,0.0,0.0030434131622314,17.0,0.0,0.0058362483978271,22.0,0.0022346973419189,22.0,0.0024101734161376,18,0.0001742839813232,20,0.0023849010467529,21,0.0012104511260986
104324908,13,77,62.0,0.0,0.001204490661621,34.0,0.0,0.0013916492462158,51.0,0.0,0.002542495727539,51.0,0.0,0.0047447681427001,62.0,0.0025205612182617,62.0,0.0026512145996093,37,0.0001735687255859,60,0.0024850368499755,56,0.0022504329681396
16674149,14,63,41.0,0.0,0.0014150142669677,40.0,0.0,0.0012698173522949,33.0,0.0,0.003171682357788,41.0,0.0,0.004871129989624,41.0,0.0028848648071289,41.0,0.0031325817108154,23,0.0001709461212158,36,0.0017223358154296,34,0.001469612121582
58525541,14,126,100.0,0.0,0.0017499923706054,96.0,0.0,0.0027318000793457,72.0,0.0,0.0059564113616943,96.0,0.0,0.005817174911499,100.0,0.0044152736663818,100.0,0.0048038959503173,41,0.0001833438873291,100,0.0024335384368896,94,0.0010724067687988
101903164,14,51,28.0,0.0,0.0015947818756103,18.0,0.0,0.0020258426666259,27.0,0.0,0.005511999130249,22.0,0.0,0.0056002140045166,28.0,0.0033869743347167,28.0,0.0036039352416992,22,0.0001933574676513,24,0.0021631717681884,27,0.0011975765228271
126067398,14,51,27.0,0.0,0.0017218589782714,20.0,0.0,0.0074834823608398,26.0,0.0,0.0032629966735839,20.0,0.0,0.0109305381774902,27.0,0.0037438869476318,27.0,0.0037832260131835,21,0.0001797676086425,21,0.0016818046569824,26,0.0012111663818359
258955239,14,57,40.0,0.0,0.0013186931610107,26.0,0.0,0.0032606124877929,34.0,0.0,0.0025827884674072,35.0,0.0,0.0072309970855712,40.0,0.0025355815887451,40.0,0.0025985240936279,25,0.0001771450042724,37,0.0025575160980224,34,0.0010673999786376
549089429,14,125,105.0,0.0,0.0016584396362304,84.0,0.0,0.0023581981658935,78.0,0.0,0.0028769969940185,100.0,0.0,0.0053267478942871,105.0,0.0036125183105468,105.0,0.0037875175476074,45,0.0001747608184814,100,0.0023961067199707,104,0.0013267993927001
9855382,15,67,41.0,0.0,0.001788854598999,18.0,0.0,0.0177338123321533,40.0,0.0,0.004929780960083,23.0,0.0,0.0205366611480712,41.0,0.0043597221374511,41.0,0.0046427249908447,33,0.000185489654541,26,0.0023753643035888,39,0.001601219177246
33794839,15,71,53.0,0.0,0.001349925994873,22.0,0.0,0.0011045932769775,49.0,0.0,0.0032603740692138,49.0,0.0,0.0071406364440917,53.0,0.0027496814727783,53.0,0.0028815269470214,35,0.0001804828643798,49,0.0022864341735839,49,0.0012099742889404
176936249,17,50,29.0,0.0,0.0015337467193603,14.0,0.0,0.0098805427551269,29.0,0.0,0.0031855106353759,19.0,0.0,0.0155208110809326,29.0,0.003793716430664,29.0,0.0040409564971923,25,0.0002005100250244,20,0.0028870105743408,29,0.0007688999176025
241635675,17,82,43.0,0.0,0.0033402442932128,32.0,0.0,0.0075044631958007,43.0,0.0,0.0072979927062988,36.0,0.0,0.013310432434082,43.0,0.0065076351165771,43.0,0.0068283081054687,34,0.0001997947692871,36,0.0025568008422851,43,0.0013275146484375
333881828,17,95,50.0,0.0,0.0036280155181884,40.0,0.0,0.0024631023406982,47.0,0.0,0.0426220893859863,41.0,0.0,0.0075633525848388,50.0,0.0075290203094482,50.0,0.0078821182250976,36,0.0002088546752929,43,0.0019118785858154,49,0.0014441013336181
7144422,18,127,74.0,0.0,0.003589391708374,60.0,0.0,0.0042371749877929,64.0,0.0,0.0351526737213134,68.0,0.0,0.0096857547760009,74.0,0.0092658996582031,74.0,0.0093398094177246,46,0.0002079010009765,71,0.0026729106903076,64,0.0015594959259033
15053535,18,26,23.0,0.0,0.0008256435394287,12.0,0.0,0.0008542537689208,19.0,0.0,0.0025672912597656,23.0,0.0,0.0087745189666748,23.0,0.001427412033081,23.0,0.0015027523040771,16,0.0002021789550781,23,0.0024631023406982,23,0.0009791851043701
532617990,19,74,47.0,0.0,0.0021424293518066,32.0,0.0,0.0018506050109863,45.0,0.0,0.0044918060302734,41.0,0.0,0.009620189666748,47.0,0.0041813850402832,47.0,0.0042269229888916,33,0.000223159790039,43,0.0026848316192626,41,0.0013215541839599
39695043,21,139,78.0,0.0,0.010483980178833,52.0,0.0,0.0153019428253173,77.0,0.0,0.009556770324707,64.0,0.0,0.0234792232513427,78.0,0.0129997730255126,78.0,0.0130488872528076,55,0.0002412796020507,64,0.0031969547271728,70,0.0023286342620849
105398724,21,166,110.0,0.0,0.0042376518249511,86.0,0.0,0.0020411014556884,99.0,0.0,0.0083529949188232,103.0,0.0,0.0098488330841064,110.0,0.0103809833526611,110.0,0.0105457305908203,77,0.0002317428588867,87,0.0030620098114013,106,0.0025711059570312
18558612,22,296,201.0,0.0,0.009467601776123,162.0,0.0,0.0121617317199707,169.0,0.0,0.1034073829650878,167.0,0.0,0.0189933776855468,201.0,0.0232117176055908,201.0,0.023566722869873,108,0.0002479553222656,199,0.0040585994720458,195,0.0019664764404296
22252971,23,34,28.0,0.0,0.0011713504791259,14.0,0.0,0.0014317035675048,25.0,0.0,0.0033149719238281,20.0,0.0,0.013538122177124,28.0,0.0022635459899902,28.0,0.0024950504302978,21,0.000251293182373,25,0.0034377574920654,28,0.001096487045288
61781462,23,147,83.0,0.0,0.0051724910736083,46.0,0.0,0.0033152103424072,83.0,0.0,0.0145766735076904,64.0,0.0,0.014601707458496,83.0,0.0125036239624023,83.0,0.012794017791748,65,0.0002534389495849,67,0.0034844875335693,79,0.0024235248565673
101859065,23,208,122.0,0.0,0.0069353580474853,74.0,0.0,0.0053436756134033,120.0,0.0,0.0138459205627441,94.0,0.0,0.0140125751495361,122.0,0.019352912902832,122.0,0.019808292388916,79,0.0002532005310058,92,0.0039923191070556,118,0.0031523704528808
107172099,23,285,188.0,0.0,0.0086145401000976,146.0,0.0,0.0113043785095214,160.0,0.0,0.0700368881225586,174.0,0.0,0.0204789638519287,188.0,0.0228216648101806,188.0,0.0235998630523681,107,0.0002558231353759,173,0.003859519958496,185,0.0028748512268066
107511013,24,294,211.0,0.0,0.0064318180084228,154.0,0.0,0.0098254680633544,170.0,0.0,0.1171202659606933,176.0,0.0,0.0226240158081054,211.0,0.0182187557220459,211.0,0.0186748504638671,109,0.0002591609954833,204,0.0038924217224121,184,0.0020699501037597
15445811,25,273,184.0,0.0,0.0073823928833007,152.0,0.0,0.0055122375488281,149.0,0.0,0.0205905437469482,167.0,0.0,0.0160450935363769,184.0,0.0209124088287353,184.0,0.0214254856109619,97,0.0002620220184326,162,0.003969669342041,167,0.0026357173919677
40777046,25,39,28.0,0.0,0.00146484375,10.0,0.0,0.0016512870788574,28.0,0.0,0.0037977695465087,21.0,0.0,0.0161192417144775,28.0,0.002852439880371,28.0,0.0030004978179931,24,0.0002689361572265,28,0.0038268566131591,28,0.00132417678833
121258930,25,245,141.0,0.0,0.0177869796752929,120.0,0.0,0.0066919326782226,129.0,0.0,0.0466670989990234,129.0,0.0,0.0175421237945556,141.0,0.0307662487030029,141.0,0.0307362079620361,91,0.0002636909484863,130,0.0036144256591796,127,0.0038516521453857
176589903,25,301,211.0,0.0,0.0068795680999755,134.0,0.0,0.0132272243499755,179.0,0.0,0.08840012550354,183.0,0.0,0.0242819786071777,211.0,0.0205495357513427,211.0,0.0207715034484863,117,0.0002763271331787,211,0.0045969486236572,178,0.002450942993164
207936757,25,412,349.0,0.0,0.0059823989868164,280.0,0.0,0.0118653774261474,246.0,0.0,0.0157864093780517,310.0,0.0,0.0216176509857177,349.0,0.0183432102203369,349.0,0.0187776088714599,142,0.0002617835998535,349,0.0041034221649169,334,0.0020966529846191
14505838,26,280,191.0,0.0,0.0533986091613769,140.0,0.0,0.0046424865722656,175.0,0.0,0.0228466987609863,183.0,0.0,0.0181114673614501,192.0,0.0229220390319824,192.0,0.073462963104248,119,0.0002875328063964,182,0.0039455890655517,178,0.002528429031372
17874544,26,107,81.0,0.0,0.00258469581604,16.0,0.0,0.0024759769439697,81.0,0.0,0.007045030593872,47.0,0.0,0.01611328125,81.0,0.0056624412536621,81.0,0.0058822631835937,62,0.0002932548522949,73,0.0056250095367431,79,0.0035309791564941
71091272,26,97,51.0,0.0,0.0052440166473388,26.0,0.0,0.0097367763519287,50.0,0.0,0.0122921466827392,43.0,0.0,0.0253393650054931,51.57142857142857,0.0083568096160888,51.13333333333333,0.0927956104278564,43,0.0002775192260742,38,0.0033590793609619,50,0.0015969276428222
116808228,26,56,38.0,0.0,0.001699686050415,22.0,0.0,0.0019011497497558,37.0,0.0,0.0048542022705078,28.0,0.0,0.0170545578002929,38.0,0.0036139488220214,38.0,0.0038092136383056,32,0.0002820491790771,31,0.0037770271301269,38,0.0011157989501953
484991854,27,326,208.0,0.0,0.009864330291748,158.0,0.0,0.0080235004425048,175.0,0.0,0.4408199787139892,172.0,0.0,0.0198094844818115,208.0,0.0286760330200195,208.0,0.0296566486358642,123,0.0002951622009277,188,0.0050141811370849,166,0.0036988258361816
53235381,28,275,162.0,0.0,0.0108773708343505,122.0,0.0,0.0473647117614746,141.0,0.0,0.1729044914245605,150.0,0.0,0.059885025024414,162.0,0.0263478755950927,162.0,0.0269777774810791,103,0.000300645828247,153,0.0046319961547851,133,0.0040252208709716
136341512,28,348,247.0,0.0,0.0086047649383544,234.0,0.0,0.0072226524353027,172.0,0.0,0.4329683780670166,243.0,0.0,0.0198278427124023,247.0,0.0261704921722412,247.0,0.0266568660736084,113,0.000298261642456,240,0.0040318965911865,194,0.0018420219421386
276843589,28,232,162.0,0.0,0.0059993267059326,152.0,0.0,0.0056140422821044,121.0,0.0,0.0206282138824462,157.0,0.0,0.0187840461730957,162.0,0.0179610252380371,162.0,0.0184590816497802,78,0.0002913475036621,139,0.0039014816284179,133,0.0023078918457031
307478701,28,126,72.0,0.0,0.0065045356750488,28.0,0.0,0.0041830539703369,71.0,0.0,0.0511236190795898,43.0,0.0,0.021287202835083,72.25,0.0101957321166992,72.25,0.0309641361236572,64,0.0002894401550292,61,0.0042150020599365,69,0.0018198490142822
356897757,28,52,34.0,0.0,0.0018095970153808,18.0,0.0,0.0024585723876953,33.0,0.0,0.0055429935455322,30.0,0.0,0.0207185745239257,34.0,0.0038285255432128,34.0,0.00419282913208,29,0.0002784729003906,27,0.0038287639617919,34,0.0013082027435302
6253282,29,536,359.0,0.0,0.0187954902648925,358.0,0.0,0.0227642059326171,267.0,0.0,2.301337718963623,359.0,0.0,0.0351381301879882,359.0,0.0510225296020507,359.0,0.0524735450744628,168,0.0003120899200439,359,0.0046484470367431,342,0.0020830631256103
18988524,29,157,94.0,0.0,0.0185792446136474,44.0,0.0,0.0058841705322265,92.0,0.0,0.0384740829467773,63.0,0.0,0.0227444171905517,94.5,0.0125446319580078,94.5,0.0412063598632812,78,0.0002954006195068,76,0.0042965412139892,89,0.0024094581604003
324201646,29,238,156.0,0.0,0.1204311847686767,82.0,0.0,0.0976591110229492,148.0,0.0,0.1708359718322754,106.0,0.0,0.1149177551269531,162.5,0.0163705348968505,157.63199397227726,0.5423767566680908,102,0.0003092288970947,142,0.0053226947784423,145,0.0031657218933105
15589323,30,176,86.99999999999999,0.0,0.0608148574829101,50.0,0.0,0.0320315361022949,87.0,0.0,0.0837306976318359,56.0,0.0,0.0450081825256347,89.0,0.0197973251342773,87.95,0.2686657905578613,76,0.0003228187561035,80,0.0058934688568115,84,0.0020637512207031
18681592,30,71,40.0,0.0,0.0029258728027343,24.0,0.0,0.003603458404541,39.0,0.0,0.0169177055358886,32.0,0.0,0.0233347415924072,40.0,0.0060279369354248,40.0,0.0063045024871826,34,0.0003056526184082,30,0.0035996437072753,37,0.0009913444519042
31464977,30,156,87.0,0.0,0.0263643264770507,64.0,0.0,0.0045745372772216,85.0,0.0,0.0508584976196289,77.0,0.0,0.061673879623413,87.33333333333333,0.0211999416351318,87.33333333333333,0.0673236846923828,64,0.0003120899200439,57,0.0030527114868164,81,0.0019700527191162
151246522,30,442,268.0,0.0,0.0284438133239746,228.0,0.0,0.0251038074493408,234.0,0.0,0.3667764663696289,242.0,0.0,0.0381379127502441,268.0,0.0591270923614501,268.0,0.0601789951324462,161,0.0003280639648437,248,0.0051956176757812,230,0.0040082931518554
182609394,30,272,180.0,0.0,0.0139572620391845,122.0,0.0,0.0060091018676757,169.0,0.0,0.0189836025238037,171.0,0.0,0.0207254886627197,179.99999999999997,0.0237059593200683,179.99999999999997,0.0245699882507324,111,0.0003261566162109,178,0.0048639774322509,152,0.0031898021697998
259365099,30,122,77.0,0.0,0.0038390159606933,30.0,0.0,0.0095589160919189,75.0,0.0,0.0103011131286621,58.0,0.0,0.0298752784729003,77.0,0.0085411071777343,77.0,0.0098216533660888,61,0.0003304481506347,63,0.0054187774658203,75,0.0025637149810791
19976791,31,216,125.0,0.0,0.0104010105133056,54.0,0.0,0.0790722370147705,122.0,0.0,0.0891313552856445,79.0,0.0,0.0832417011260986,125.0,0.0237979888916015,125.0,0.0250763893127441,94,0.0003225803375244,87,0.0052688121795654,118,0.00346040725708
11928542,32,326,175.0,0.0,0.0575551986694335,154.0,0.0,0.0086026191711425,157.0,0.0,0.9689571857452391,170.0,0.0,0.0269134044647216,175.0,0.0529553890228271,175.0,0.0542962551116943,114,0.0003266334533691,170,0.0047965049743652,149,0.0038845539093017
15859268,32,216,109.0,0.0,0.0714282989501953,64.0,0.0,0.1301512718200683,108.0,0.0,0.166395902633667,65.0,0.0,0.1409180164337158,109.2,0.0318553447723388,109.0,0.1413931846618652,88,0.0003271102905273,93,0.005295991897583,102,0.0033814907073974
18470775,32,427,285.0,0.0,0.0266900062561035,184.0,0.0,0.0370738506317138,252.0,0.0,0.1347935199737548,267.0,0.0,0.0552377700805664,285.0,0.0418083667755126,285.0,0.0422298908233642,176,0.0003228187561035,267,0.0053493976593017,254,0.0034117698669433
84114921,32,309,209.0,0.0,0.0082969665527343,192.0,0.0,0.0074164867401123,162.0,0.0,0.0901896953582763,199.0,0.0,0.0229785442352294,209.0,0.0224547386169433,209.0,0.0228009223937988,109,0.0003368854522705,180,0.0048358440399169,145,0.0026803016662597
98345808,32,139,81.0,0.0,0.0110208988189697,64.0,0.0,0.0394139289855957,73.0,0.0,0.0542476177215576,69.0,0.0,0.0643155574798584,81.0,0.0123686790466308,81.0,0.0124037265777587,56,0.0003266334533691,74,0.0043654441833496,74,0.0024151802062988
21731779,33,64,40.0,0.0,0.0057535171508789,20.0,0.0,0.0027022361755371,39.0,0.0,0.0083131790161132,33.0,0.0,0.0290837287902832,40.0,0.0057888031005859,40.0,0.006110668182373,36,0.0003275871276855,33,0.0048682689666748,39,0.001378059387207
61890555,33,152,84.0,0.0,0.0135371685028076,56.0,0.0,0.0075769424438476,81.0,0.0,0.0192344188690185,69.0,0.0,0.0288567543029785,84.0,0.0149939060211181,84.0,0.0153489112854003,68,0.0003278255462646,72,0.003751516342163,82,0.0018022060394287
120157205,33,358,210.0,0.0,0.1470203399658203,138.0,0.0,0.0305938720703125,204.0,0.0,0.0913965702056884,150.0,0.0,0.0552089214324951,211.0,0.0502328872680664,211.0,0.1230902671813964,150,0.0003402233123779,177,0.0050623416900634,200,0.0038957595825195
7424642,34,661,417.0,0.0,0.0530407428741455,398.0,0.0,0.032336950302124,337.0,0.0,21.179070949554443,412.0,0.0,0.052762746810913,417.0,0.1040465831756591,417.0,0.1045393943786621,219,0.0003533363342285,413,0.0056695938110351,390,0.0024659633636474
137527381,34,455,355.0,0.0,0.0109248161315917,336.0,0.0,0.0072453022003173,241.0,0.0,0.0355870723724365,339.0,0.0,0.0244169235229492,355.0,0.0304796695709228,355.0,0.0307631492614746,154,0.0003688335418701,351,0.0059320926666259,275,0.0037758350372314
